,book_name,Ganer,rating,rating_count,pages,price,Author
2083,The Adventures of Sherlock Holmes [Large Print Edition] : The Complete & Unabridged Original Classic,"Crime, Crime Fiction",4.3,279381,402,98.34,Aaron Blabey
2084,Land of Mist Annotated,Contemporary Fiction,2.94,694,268,44.38,Aaron Blabey
2087,Sherlock Holmes a Selection of His,"Contemporary Fiction, Crime, Crime Fiction, Vintage Crime",4.41,4846,384,77.82,Aaron Blabey
2090,The Sign of Four (Wisehouse Classics Edition - with original illustrations by Richard Gutschmidt),"Contemporary Fiction, Crime, Crime Fiction, Thriller Books, Thrillers",3.91,140309,86,40.52,Aaron Blabey
2091,Sherlock Holmes : Uno studio in rosso,"Anthologies (non-poetry), Crime, Crime Fiction, Vintage Crime",4.14,402951,122,51.56,Aaron Blabey
2095,La reaparicion de Sherlock Holmes / The return of Sherlock Holmes,"Classic Books & Novels, Crime, Crime Fiction, Teaching Resources & Education",4.29,60651,331,54.13,Aaron Blabey
2096,Las Aventuras de Sherlock Holmes,Contemporary Fiction,4.3,280497,294,95.02,Aaron Blabey
2097,The Sign of the Four : (Annotated),"Crime, Crime Fiction, Historical Crime",3.91,140309,98,39.34,Aaron Blabey
2098,Rodney Stone,"Contemporary Fiction, Classic Books & Novels, Crime, Crime Fiction, Adventure Books",3.64,221,378,34.10,Aaron Blabey
2099,Sir Nigel,"Classic Books & Novels, Historical Fiction",3.91,910,194,34.10,Aaron Blabey
2102,The Adventures of Sherlock Holmes (Wisehouse Classics Edition),"Contemporary Fiction, Crime, Crime Fiction, Vintage Crime, Thriller Books, Thrillers",4.3,279381,210,55.51,Aaron Blabey
2103,Le Ultime Avventure Di Sherlock Holmes : Con Illustrazioni Originali,"Crime, Crime Fiction",4.25,42791,242,66.92,Aaron Blabey
2106,The Maracot Deep (Dodo Press),Contemporary Fiction,3.58,588,104,44.15,Aaron Blabey
2107,Tales of Terror and Mystery (Dodo Press),Contemporary Fiction,3.82,2515,196,56.33,Aaron Blabey
2108,The Poison Belt,"Contemporary Fiction, Classic Books & Novels, Adventure Books, Science Fiction",3.5,3057,74,76.16,Aaron Blabey
2110,Sherlock Holmes Vol 1 - Spanish English Side By Side Dual Language Classics,"Language Teaching & Learning (other Than ELT), Language Teaching & Learning Material & Coursework",4.31,696,124,82.52,Aaron Blabey
2111,The Disintegration Machine (Professor Challenger Series),"Contemporary Fiction, Crime, Crime Fiction, Adventure Books, Science Fiction",3.47,605,26,53.40,Aaron Blabey
2112,The Adventures of Sherlock Holmes : The Adventure of the Copper Beeches,"Anthologies (non-poetry), Crime, Crime Fiction, Thriller Books, Thrillers",3.9,3765,94,48.61,Aaron Blabey
2114,The Poison Belt (Professor Challenger Series),"Contemporary Fiction, Adventure Books, Science Fiction, Fantasy, Fantasy Books",3.5,3057,118,59.10,Aaron Blabey
2117,The Sign of the Four : GCSE English Illustrated Student Edition with Wide Annotation Friendly Margins,"Anthologies (non-poetry), Crime, Crime Fiction",3.91,140309,164,45.17,Aaron Blabey
2118,A Study in Scarlet : (Annotated),"Classic Books & Novels, Crime, Crime Fiction",4.14,402951,90,36.62,Aaron Blabey
2120,The Lost World (Dodo Press),Contemporary Fiction,3.93,63173,208,56.52,Aaron Blabey
2121,His Last Bow (Dodo Press),"Crime, Crime Fiction",4.25,42791,198,56.33,Aaron Blabey
2125,El Mundo Perdido,Anthologies (non-poetry),3.93,63173,104,40.69,Aaron Blabey
2126,The Hound of the Baskervilles (Legend Classics),"Classic Books & Novels, Crime, Crime Fiction, Vintage Crime",4.13,314565,120,32.73,Aaron Blabey
2127,"Sherlock Holmes : The Hound of the Baskervilles - Illustrated, Large Print, Large Format: Giant 8.5"" x 11"" Size: Large, Clear Print & Pictures - Complete & Unabridged!","Classic Books & Novels, Crime, Crime Fiction",4.13,314565,190,71.60,Aaron Blabey
2128,The Exploits of Brigadier Gerard (Dodo Press),Contemporary Fiction,3.88,511,192,56.28,Aaron Blabey
2130,El mundo perdido / the Lost World,"Classic Books & Novels, Horror, Science Fiction, Fantasy, Fantasy Books",3.93,63173,256,37.57,Aaron Blabey
2131,El sabueso de los Baskerville / The Hound of the Baskervilles,"Classic Books for Children, Mystery Books for Kids",4.13,314565,249,74.26,Aaron Blabey
2132,"Arthur Conan Doyle - Rodney Stone : ""We can't command our love, but we can our actions.""",Classic Books & Novels,3.64,221,166,74.33,Aaron Blabey
2134,A Study in Scarlet (Wisehouse Classics Edition - with original illustrations by George Hutchinson),"Contemporary Fiction, Crime, Crime Fiction, Vintage Crime, Thriller Books, Thrillers",4.14,402951,90,41.03,Aaron Blabey
2135,The Exploits of Brigadier Gerard,"Contemporary Fiction, Classic Books & Novels, Crime, Crime Fiction, Adventure Books, Military Fiction, Horror, Historical Fiction, Short Story Books",3.88,511,456,76.16,Aaron Blabey
2136,The Memoirs of Sherlock Holmes (Wisehouse Classics Edition - with original illustrations by Sidney Paget),"Fiction Books, Contemporary Fiction, Crime, Crime Fiction, Vintage Crime, Thriller Books, Thrillers",4.31,91934,198,54.06,Aaron Blabey
2139,The Adventure of the Priory School,Contemporary Fiction,3.68,1242,34,58.68,Aaron Blabey
2140,Las aventuras de Sherlock Holmes (edicion ilustrada) / The Adventures of Sherlock Holmes,"Literary Studies: Classical, Early & Medieval, Classic Books & Novels, Crime, Crime Fiction, Adventure Books",4.3,280449,368,78.24,Aaron Blabey
2142,The Sign of the Four (Dodo Press),"Contemporary Fiction, Crime, Crime Fiction",3.91,140309,116,47.93,Aaron Blabey
2143,The Adventures of Sherlock Holmes (Dodo Press),Contemporary Fiction,4.3,279381,296,68.59,Aaron Blabey
2144,Ky Teylu Baskerville,"Classic Books & Novels, Crime, Crime Fiction",4.13,314565,232,70.29,Aaron Blabey
2146,Sherlock Holmes : The Red-Headed League (Juvenile Fiction): Yellow House Kids,Mystery Books for Kids,3.94,13971,60,43.89,Aaron Blabey
2147,The White Company Arthur Conan Doyle,Anthologies (non-poetry),3.9,4248,350,111.00,Aaron Blabey
2150,The Memoirs of Sherlock Holmes (Dodo Press),Contemporary Fiction,4.31,91934,244,60.65,Aaron Blabey
2151,Estudio En Escarlata,"Contemporary Fiction, Childrens Fiction, Traditional, English Language: Reading & Writing Skills",4.14,402951,168,44.38,Aaron Blabey
2152,The Land of Mist (Professor Challenger Series),"Contemporary Fiction, Adventure Books, Science Fiction, Fantasy, Fantasy Books",2.94,694,298,61.49,Aaron Blabey
2154,Le Chien des Baskerville / The Hound of the Baskervilles : Edition bilingue francais-anglais / Bilingual edition French-English,"Crime, Crime Fiction",4.13,314565,318,79.36,Aaron Blabey
2155,The Lost World : A Professor Challenger Adventure,"Fantasy, Fantasy Books",3.93,63173,224,47.46,Aaron Blabey
2158,The Casebook of Sherlock Holmes (Dodo Press),Contemporary Fiction,4.15,25089,248,53.52,Aaron Blabey
2159,The Land of Mist (Dodo Press),Contemporary Fiction,2.94,694,248,64.27,Aaron Blabey
2164,Sherlock Holmes : A Scandal in Bohemia (Juvenile Fiction): Yellow House Kids,Mystery Books for Kids,3.8,6940,62,66.47,Aaron Blabey
2168,Sherlock Holmes : A Double Barreled Detective Story,"Classic Books & Novels, Crime, Crime Fiction",3.22,901,46,53.85,Aaron Blabey
2169,El sabueso de los Baskerville,"Crime, Crime Fiction, Mystery Books for Kids",4.13,314565,266,65.35,Aaron Blabey
2171,A Study in Scarlet (Legend Classics),"Contemporary Fiction, Classic Books & Novels, Crime, Crime Fiction, Vintage Crime",4.14,402951,288,61.87,Aaron Blabey
2174,Las memorias de Sherlock Holmes / The Memories of Sherlock Holmes,"Literary Studies: Classical, Early & Medieval, Childrens Fiction, Classic Books for Children, Mystery Books for Kids, English Language: Reading Schemes",4.31,91934,339,86.57,Aaron Blabey
2176,Silver Blaze (Sherlock Holmes Series),"Crime, Crime Fiction, Historical Crime, Thriller Books, Thrillers",4.17,17747,42,62.56,Aaron Blabey
2177,The Narrative of John Smith,"Contemporary Fiction, Classic Books & Novels",3.59,262,138,57.07,Aaron Blabey
2178,"The Complete Sherlock Holmes, Volume I (Barnes & Noble Classics Series)","Contemporary Fiction, Classic Books & Novels, Crime, Crime Fiction, Short Story Books",4.49,29887,752,71.49,Aaron Blabey
2180,The Adventure of the Dying Detective,"Classic Books & Novels, Crime, Crime Fiction, Science Fiction, Short Story Books",4.04,2663,38,34.10,Aaron Blabey
2182,The Adventure of Wisteria Lodge,"Anthologies (non-poetry), Crime, Crime Fiction, Short Story Books",3.88,2796,42,41.10,Aaron Blabey
2183,The adventures of Sherlock Holmes,"Anthologies (non-poetry), Classic Books & Novels, Crime, Crime Fiction",4.3,279381,222,34.10,Aaron Blabey
2184,Sherlock Holmes : His Last Bow: The Complete & Unabridged Classic Edition,"Crime, Crime Fiction, Vintage Crime",4.25,42791,232,73.00,Aaron Blabey
2185,The Adventure of Charles Augustus Milverton,Contemporary Fiction,3.89,1322,24,58.35,Aaron Blabey
2186,His Last Bow : An Epilogue of Sherlock Holmes,"Anthologies (non-poetry), Contemporary Fiction, Crime, Crime Fiction, Short Story Books",4.25,42791,40,47.40,Aaron Blabey
2187,The Valley of Fear - Large Print : A Sherlock Holmes Novel,Classic Books & Novels,3.97,42506,360,84.80,Aaron Blabey
2190,Study in Scarlet,"Classic Books & Novels, Crime, Crime Fiction, Historical Crime, Adventure Books",4.14,402951,106,34.10,Aaron Blabey
2192,Memoirs of Sherlock Holmes,"Classic Books & Novels, Crime, Crime Fiction, Adventure Books",4.31,91934,536,76.16,Aaron Blabey
2193,"Aula de Literatura, El signo de los cuatro, ESO. Material auxiliar",Childrens Fiction,3.91,140309,232,72.62,Aaron Blabey
2195,The Return Of Sherlock Holmes : A Collection of Holmes Adventures,"Anthologies (non-poetry), Classic Books & Novels, Crime, Crime Fiction, Adventure Books, Short Story Books",4.29,60651,508,126.09,Aaron Blabey
2196,La corona de Berilos 1892 : Sherlock Holmes en,"Crime, Crime Fiction",3.79,3309,42,70.16,Aaron Blabey
2197,La Marque des quatre,"Crime, Crime Fiction",3.91,140309,130,61.97,Aaron Blabey
2198,Le monde perdu,Anthologies (non-poetry),3.93,63173,312,76.16,Aaron Blabey
2200,The Hound of the Baskervilles : Original and Unabridged,"Crime, Crime Fiction",4.13,314565,150,59.54,Aaron Blabey
2202,The Return of Sherlock Holmes (Lady Valkyrie Classics),Classic Books & Novels,4.29,60651,246,54.26,Aaron Blabey
2203,Lot No. 249,"Contemporary Fiction, Short Story Books",3.62,1151,34,55.31,Aaron Blabey
2204,The Adventure of the Three Students,Contemporary Fiction,3.56,1299,26,55.31,Aaron Blabey
2206,The Hound Of The Baskervilles,"Contemporary Fiction, Classic Books & Novels, Crime, Crime Fiction",4.13,314565,226,44.38,Aaron Blabey
2207,Las cinco semillas de naranja/The five orange pips : Edicion bilingue/Bilingual edition,"Crime, Crime Fiction",3.74,7441,62,65.43,Aaron Blabey
2208,The man with the twisted lip : The adventures of Sherlock Holmes,"Classic Books & Novels, Crime, Crime Fiction",3.85,5407,42,64.72,Aaron Blabey
2209,El aristocrata solteron/The adventure of the Noble Bachelor : Edicion bilingue/Bilingual edition,"Crime, Crime Fiction",3.61,3661,66,65.55,Aaron Blabey
2210,The Adventure of the Blue Carbuncle,Home,3.79,9084,48,72.58,Aaron Blabey
2212,El aristocrata solteron : (low cost),Classic Books & Novels,3.61,3661,38,43.47,Aaron Blabey
2214,His Last Bow. An Epilogue of Sherlock Holmes,"Crime, Crime Fiction",4.25,42791,36,46.86,Aaron Blabey
2215,La Vallee de la peur,Anthologies (non-poetry),3.97,42506,172,53.48,Aaron Blabey
2217,The Land of Mist,"Contemporary Fiction, Science Fiction, Fantasy, Fantasy Books",2.94,694,432,69.28,Aaron Blabey
2218,His Last Bow : A Reminiscence of Sherlock Holmes,"Contemporary Fiction, Classic Books & Novels, Crime, Crime Fiction, Adventure Books, Short Story Books",4.25,42791,320,69.69,Aaron Blabey
2219,"The Captain of the Polestar, and Other Tales","Classic Books & Novels, Adventure Books, Historical Fiction, Short Story Books",3.54,321,158,44.38,Aaron Blabey
2224,La Vallee de la Peur,Anthologies (non-poetry),3.97,42506,262,77.38,Aaron Blabey
2225,The Adventures of Sherlock Holmes : The Adventure of the Noble Bachelor,"Anthologies (non-poetry), Crime, Crime Fiction, Thriller Books, Thrillers",3.61,3661,80,47.94,Aaron Blabey
2226,"His Last Bow (1917), by Arthur Conan Doyle",Contemporary Fiction,4.25,42791,120,50.87,Aaron Blabey
2230,The Adventures of Sherlock Holmes : Large Print Edition,"Classic Books & Novels, Crime, Crime Fiction",4.3,279381,498,107.73,Aaron Blabey
2231,The Disappearance of Lady Frances Carfax (annotated),"Classic Books & Novels, Crime, Crime Fiction",3.71,1393,42,37.23,Aaron Blabey
2232,Un caso de identidad 1891,"Crime, Crime Fiction",3.63,6508,36,68.03,Aaron Blabey
2233,A Study In Scarlet,"Classic Books & Novels, Crime, Crime Fiction",4.14,402951,122,34.10,Aaron Blabey
2234,The Adventures Of Gerard,"Contemporary Fiction, Adventure Books, Historical Fiction",3.88,328,134,53.17,Aaron Blabey
2238,The Exploits of Brigadier Gerard : New special edition,"Contemporary Fiction, Classic Books & Novels, Adventure Books, Short Story Books",3.88,511,242,99.47,Aaron Blabey
2242,Adventures of Sherlock Holmes,"Anthologies (non-poetry), Fiction Books, Contemporary Fiction, Classic Books & Novels, Crime, Crime Fiction, Vintage Crime, Historical Crime, Adventure Books",4.3,279381,350,117.03,Aaron Blabey
2243,A Desert Drama : Being the Tragedy of the Korosko,"Anthologies (non-poetry), Middle Eastern History",3.61,408,136,43.39,Aaron Blabey
2244,The Parasite : A Story,"Classic Books & Novels, Thriller Books, Thrillers, Horror",3.64,733,40,74.08,Aaron Blabey
2248,Sherlock Holmes : : His last bow,"Contemporary Fiction, Classic Books & Novels, Crime, Crime Fiction, Adventure Books, Short Story Books",4.25,42791,178,69.73,Aaron Blabey
2250,"His Last Bow - Some Later Reminiscences of Sherlock Holmes : Wisteria Lodge, The Red Circle, The Dying Detective, The Disappearance of Lady Frances Carfax, The Devil's Foot, His Last Bow...","Crime, Crime Fiction",4.25,42791,140,41.33,Aaron Blabey
2252,Das Tal der Angst : Ein Sherlock Holmes Roman - Gebundene Ausgabe,"Poetry Books, Poetry By Individual Poets, Plays, Playscripts",3.97,42506,174,103.10,Aaron Blabey
2253,The Mystery of Cloomber (annotated),"Crime, Crime Fiction",3.49,779,148,47.41,Aaron Blabey
2254,Rodney Stone by Arthur Conan Doyle,Contemporary Fiction,3.64,221,156,50.87,Aaron Blabey
2255,A Study in Scarlet.,"Contemporary Fiction, Classic Books & Novels, Crime, Crime Fiction",4.14,402951,90,40.63,Aaron Blabey
2256,The Sign of the Four.,"Classic Books & Novels, Crime, Crime Fiction, Thriller Books, Thrillers, Adventure Books",3.91,140309,86,40.63,Aaron Blabey
2258,The Memoirs of Sherlock Holmes : The Crooked Man,"Classic Books & Novels, Crime, Crime Fiction, Thriller Books, Thrillers, Short Story Books",3.69,2093,66,47.45,Aaron Blabey
2259,Les Hetres pourpres : ou Les Hetres d'Or,"Crime, Crime Fiction",3.9,3765,34,51.27,Aaron Blabey
2261,The Sign of Four : Large Print,"Classic Books & Novels, Crime, Crime Fiction, Vintage Crime",3.91,140309,144,67.35,Aaron Blabey
2262,The Devil's Foot : Sherlock Holmes in Large Print,"Historical Crime, Historical Crime",3.88,1876,112,58.40,Aaron Blabey
2263,The Coming Of The Fairies,Home,3.3,342,214,127.71,Aaron Blabey
2264,The Doings Of Raffles Haw,Anthologies (non-poetry),3.71,207,108,52.00,Aaron Blabey
2269,The Disintegration Machine Arthur Conan Doyle,Anthologies (non-poetry),3.47,605,38,73.46,Aaron Blabey
2270,El Sabueso de los Baskerville (Edicion en Espanol),Anthologies (non-poetry),4.13,314565,144,51.12,Aaron Blabey
2272,The Retired Colourman : Sherlock Holmes in Large Print,"Crime, Crime Fiction",3.44,550,88,57.23,Aaron Blabey
2273,The Sussex Vampire : Sherlock Holmes in large Print,"Crime, Crime Fiction",3.68,1458,92,64.67,Aaron Blabey
2274,"Tales of Terror and Mystery (World Classics, Unabridged)",Classic Books & Novels,3.82,2515,172,61.26,Aaron Blabey
2276,A Scandal in Bohemia : The Illustrated Study Edition with wide annotation friendly margins,"Crime, Crime Fiction",3.8,6940,54,50.83,Aaron Blabey
2279,El sabueso de Los Baskerville,"Anthologies (non-poetry), Literary Studies: Fiction, Novelists & Prose Writers, Crime, Crime Fiction, Mystery Books for Kids",4.13,314565,122,47.36,Aaron Blabey
2280,La Catacumba Nueva,Anthologies (non-poetry),3.78,219,30,40.69,Aaron Blabey
2282,The Valley of Fear : A Sherlock Holmes Novel,"Contemporary Fiction, Classic Books & Novels, Crime, Crime Fiction",3.97,42506,330,40.13,Aaron Blabey
2283,The hound of the Baskerville's : (low cost). limited edition,"Classic Books & Novels, Crime, Crime Fiction",4.13,314565,228,71.93,Aaron Blabey
2284,El signo de los cuatro (Spanish Edition),Anthologies (non-poetry),3.91,140309,72,48.41,Aaron Blabey
2285,The Return of Sherlock Holmes : The Adventure of the Six Napoleons,"Anthologies (non-poetry), Classic Books & Novels, Crime, Crime Fiction, Thriller Books, Thrillers",3.72,877,76,47.65,Aaron Blabey
2286,His Last Bow : Some Reminiscences of Sherlock Holmes,"Classic Books & Novels, Crime, Crime Fiction, Adventure Books, Short Story Books",4.25,42791,148,34.10,Aaron Blabey
2288,"The Parasite : A Story (Annotated), by Arthur Conan Doyle: Howard Pyle (March 5, 1853-November 9, 1911)illustrated",Contemporary Fiction,3.64,733,34,47.49,Aaron Blabey
2289,The Adventures of Brigadier Gerard,Contemporary Fiction,3.88,328,130,46.73,Aaron Blabey
2290,The Adventures of Gerard,"Contemporary Fiction, Classic Books & Novels, Crime, Crime Fiction, Historical Fiction, Short Story Books",3.88,328,148,66.07,Aaron Blabey
2294,"Arthur Conan Doyle - The Valley of Fear : ""Violence recoils on the violent.""",Classic Books & Novels,3.97,42506,124,54.76,Aaron Blabey
2295,A Study in Scarlet : (Sherlock Holmes #1),"Crime, Crime Fiction",4.14,402951,208,61.37,Aaron Blabey
2296,The Valley of Fear (1915) / NOVEL /,Contemporary Fiction,3.97,42506,192,61.78,Aaron Blabey
2297,The Captain of the Polestar and Other Tales (1890),"Contemporary Fiction, Classic Books & Novels, Adventure Books, Historical Fiction, Short Story Books",3.54,321,130,56.19,Aaron Blabey
2298,The Treasury of Sherlock Holmes,"Contemporary Fiction, Crime, Crime Fiction, Vintage Crime, Adventure Books",4.39,400,560,175.51,Aaron Blabey
2299,The Parasite,"Contemporary Fiction, Classic Books & Novels, Thriller Books, Thrillers, Horror",3.64,733,46,74.08,Aaron Blabey
2300,The Adventure of the Bruce-Partington Plans,"Classic Books & Novels, Crime, Crime Fiction",3.83,1271,38,34.10,Aaron Blabey
2303,The Mystery of Cloomber : Illustrated,Contemporary Fiction,3.49,779,150,64.00,Aaron Blabey
2305,The Poison Belt Illustrated,"Contemporary Fiction, Crime, Crime Fiction, Adventure Books, Science Fiction",3.5,3057,110,44.38,Aaron Blabey
2306,The Sign of the Four Illustrated,"Contemporary Fiction, Classic Books & Novels, Crime, Crime Fiction, Adventure Books, Short Story Books",3.91,140309,172,34.10,Aaron Blabey
2307,Memoirs of Sherlock Holmes Illustrated,"Contemporary Fiction, Crime, Crime Fiction, Adventure Books, Short Story Books",4.31,91934,308,44.38,Aaron Blabey
2308,The Captain of the 'Polestar' and Other Tales,"Contemporary Fiction, Short Story Books",3.54,321,284,136.58,Aaron Blabey
2313,The New Catacomb,"Contemporary Fiction, Short Story Books",3.78,219,26,58.46,Aaron Blabey
2314,The Adventure of the Cardboard Box (Esprios Classics),"Contemporary Fiction, Crime, Crime Fiction",3.71,2410,28,81.14,Aaron Blabey
2315,A Study in Scarlet (A Sherlock Holmes Mystery),"Classic Books & Novels, Crime, Crime Fiction, Vintage Crime",4.14,402951,240,40.66,Aaron Blabey
2316,La Grande Ombre,Anthologies (non-poetry),3.75,228,156,40.69,Aaron Blabey
2318,Sherlock Holmes Drama Series Volume 1,"Plays, Playscripts",4.31,696,58,48.75,Aaron Blabey
2319,Adventures of Gerard,Contemporary Fiction,3.88,328,424,44.38,Aaron Blabey
2321,Die Tanzenden Mannchen,Contemporary Fiction,3.74,458,212,81.82,Aaron Blabey
2323,Adventures Of Sherlock Holmes,"Crime, Crime Fiction, Classic Books for Children",4.3,279381,198,107.46,Aaron Blabey
2324,The Black Doctor : And Other Tales of Terror and Mystery,"Anthologies (non-poetry), Crime, Crime Fiction",3.82,2515,280,74.16,Aaron Blabey
2326,El Gos Dels Baskerville / The Hound of the Baskervilles,"Crime, Crime Fiction, Adventure Books, Childrens Fiction, Mystery Books for Kids",4.13,314565,269,84.76,Aaron Blabey
2327,"El ultimo saludo de Sherlock Holmes / His Last Bow, 1917","Adventure Books, Graphic Novels: Literary & Memoirs, Childrens Fiction, Classic Books for Children, Adventure Books for Kids, Mystery Books for Kids, English Language: Reading Schemes",4.25,42791,284,78.92,Aaron Blabey
2329,Professor Challenger I,"Contemporary Fiction, Science Fiction",3.93,63173,270,176.92,Aaron Blabey
2333,The Hound of the Baskervilles by Arthur Conan Doyle : Hardcover Book,"Classic Books & Novels, Crime, Crime Fiction, Thriller Books, Thrillers, Adventure Books, Horror",4.13,314565,176,279.04,Aaron Blabey
2334,Der Hund Der Baskervilles,Contemporary Fiction,4.13,314565,200,81.67,Aaron Blabey
2337,The Black Doctor : And Other Tales of Terror and Mystery (1919),Anthologies (non-poetry),3.82,2515,280,163.69,Aaron Blabey
2338,"Stories of Sherlock Holmes V1 : A Study in Scarlet, the Sign of Four (1904)","Biography: Historical, Political & Military, Anthologies (non-poetry)",4.17,7846,324,124.73,Aaron Blabey
2339,The White Company. Pictures by N.C. Wyeth,Home,3.9,4248,402,144.84,Aaron Blabey
2340,Las aventuras de Sherlock Holmes / The Adventures of Sherlock Holmes,"Childrens Fiction, Classic Books for Children, Adventure Books for Kids, Mystery Books for Kids",4.3,279381,391,87.04,Aaron Blabey
2341,The Lost World...,Home,3.93,63173,328,103.06,Aaron Blabey
2343,Tales of Terror and Mystery,"Classic Books & Novels, Crime, Crime Fiction, Thriller Books, Thrillers, Horror",3.82,2515,204,114.35,Aaron Blabey
2346,The Return Of Sherlock Holmes,"Classic Books & Novels, Crime, Crime Fiction, Vintage Crime",4.29,60651,378,127.80,Aaron Blabey
2347,The Sign Of Four,Society & Culture: General,3.91,140309,324,137.62,Aaron Blabey
2348,Sherlock Holmes - His Last Bow,"Anthologies (non-poetry), Classic Books & Novels, Crime, Crime Fiction",4.25,42791,210,57.78,Aaron Blabey
2349,Das Geheimnis von Cloomber-Hall,Contemporary Fiction,3.49,779,164,81.28,Aaron Blabey
2352,Estudio en escarlata,"Classic Books & Novels, Crime, Crime Fiction, Teaching Resources & Education",4.14,402951,240,42.05,Aaron Blabey
2353,His Last Bow : (Sir Arthur Conan Doyle Classics Collection),Contemporary Fiction,4.25,42791,26,44.01,Aaron Blabey
2354,A Study In Scarlet : (Sir Arthur Conan Doyle,Contemporary Fiction,4.14,402951,100,46.65,Aaron Blabey
2355,El misterio de Cloomber- The mystery of Cloomber,"Horror, Horror",3.49,779,348,98.98,Aaron Blabey
2356,El misterio de Cooper Beeches 1892 : Sherlock Holmes en,"Crime, Crime Fiction",3.9,3765,42,70.16,Aaron Blabey
2357,The man with the twisted lip 1892 : Sherlock Holmes in,"Crime, Crime Fiction",3.85,5407,40,69.88,Aaron Blabey
2358,The adventure of the beryl coronet : The adventures of Sherlock Holmes,"Crime, Crime Fiction",3.79,3309,42,64.72,Aaron Blabey
2359,The adventure of the speckled band : The adventures of Sherlock Holmes,"Crime, Crime Fiction",4.04,11619,44,64.72,Aaron Blabey
2360,The Adventure of the Red Circle,"Classic Books & Novels, Crime, Crime Fiction, Short Story Books",3.63,1401,26,41.10,Aaron Blabey
2361,A Case of Identity & the Boscombe Valley Mystery : Illustrated Editions,"Crime, Crime Fiction, Vintage Crime",4.3,279381,76,40.63,Aaron Blabey
2362,[Collected Works],Home,4.5,3235,466,151.28,Aaron Blabey
2365,The Memoirs of Sherlock Holmes : The Gloria Scott,"Classic Books & Novels, Crime, Crime Fiction, Thriller Books, Thrillers, Short Story Books",3.52,1748,70,47.61,Aaron Blabey
2366,The Memoirs of Sherlock Holmes : The Final Problem,"Classic Books & Novels, Crime, Crime Fiction, Thriller Books, Thrillers, Short Story Books",4.13,3243,68,47.61,Aaron Blabey
2367,Lote numero 249,Anthologies (non-poetry),3.62,1157,40,39.57,Aaron Blabey
2368,Le Gouffre Maracot : ou Le Monde perdu sous la mer,Myth & Legend Told As Fiction,3.58,588,114,44.08,Aaron Blabey
2369,Le Retour de Sherlock Holmes,Anthologies (non-poetry),4.29,60651,322,72.61,Aaron Blabey
2371,The sign of the four,Anthologies (non-poetry),3.91,140309,124,40.69,Aaron Blabey
2372,"A Sherlock Holmes Double-Header : ""a Study in Scarlet"" and ""the Sign of Four""",Classic Books & Novels,4.17,7846,380,81.92,Aaron Blabey
2375,El Gato del Brasil,Anthologies (non-poetry),3.71,454,26,40.69,Aaron Blabey
2376,The Greek Interpreter : Sherlock Holmes in Large Print,"Crime, Crime Fiction",3.64,2355,90,57.33,Aaron Blabey
2377,L'Homme a la levre retroussee : ou L'Homme a la levre tordue,"Crime, Crime Fiction",3.85,5407,34,51.27,Aaron Blabey
2378,Silver Blaze : Sherlock Holmes in Large Print,"Crime, Crime Fiction",4.17,17747,98,57.72,Aaron Blabey
2379,El Signo De Los Cuatro (Spanish Edition),Anthologies (non-poetry),3.91,140309,106,48.36,Aaron Blabey
2380,The Hound of the Baskervilles : Another Adventure of Sherlock Holmes,"Classic Books & Novels, Crime, Crime Fiction, Thriller Books, Thrillers, Adventure Books, Horror",4.13,314565,290,32.80,Aaron Blabey
2381,THE HOUND OF THE BASKERVILLES,"Language Readers, Childrens Literature Studies: General, ELT: Learning Material & Coursework, ELT Literature & Fiction Readers, Classic Books & Novels, Crime, Crime Fiction, Thriller Books, Thrillers, Adventure Books, Horror, Adult Literacy Guides & Handbooks",4.13,314565,215,50.12,Aaron Blabey
2383,El Sabueso de los Baskerville,Anthologies (non-poetry),4.13,314565,126,50.40,Aaron Blabey
2385,"Arthur Conan Doyle - The Parasite : ""London, that great cesspool into which all the loungers and idlers of the Empire are irresistibly drained.""",Classic Books & Novels,3.64,733,38,55.27,Aaron Blabey
2386,The Adventure Of The Cardboard Box,"Classic Books & Novels, Crime, Crime Fiction",3.71,2429,48,81.66,Aaron Blabey
2391,The Adventure of the Cardboard Box,"Anthologies (non-poetry), Contemporary Fiction, Crime, Crime Fiction, Adventure Books, Science Fiction, Short Story Books",3.71,2410,26,41.10,Aaron Blabey
2393,"Professor Challenger - Gesamtausgabe : Die vergessene Welt, Im Giftstrom, Das Nebelland, Als die Erde schrie, Die Desintegrationsmaschine","Classic Books & Novels, Adventure Books, Short Story Books",3.93,283,662,83.74,Aaron Blabey
2395,"La Marque Des Quatre, Roman Anglais",Contemporary Fiction,3.91,140309,257,92.40,Aaron Blabey
2396,The Return of Sherlock Holmes : A Collection of Holmes Adventures,"Anthologies (non-poetry), Classic Books & Novels, Crime, Crime Fiction, Vintage Crime, Adventure Books, Short Story Books",4.29,60651,368,88.66,Aaron Blabey
2398,The Priory School : Sherlock Holmes in Large Print,"Historical Crime, Historical Crime",3.68,1242,126,58.98,Aaron Blabey
2399,The Musgrave Ritual : Sherlock Holmes in Large Print,"Crime, Crime Fiction",3.92,3359,100,57.72,Aaron Blabey
2400,The Stock Broker's Clerk : Sherlock Holmes in Large Print,"Crime, Crime Fiction",3.56,1943,96,57.61,Aaron Blabey
